"DRG_Definition","Provider_Id","Provider_Name","Provider_Street_Address","Provider_City","Provider_State","Provider_Zip_Code","Hospital_Referral_Region__HRR__Description","Total_Discharges","Average_Covered_Charges","Average_Total_Payments","Average_Medicare_Payments","Provider_Name_pretty","city_experiance_percentile","city_experiance_rank","city_experiance_out_of","state_experiance_percentile","state_experiance_rank","state_experiance_out_of","overall_experiance_percentile","overall_experiance_rank","overall_experiance_out_of","DRG_Definition_pretty","Provider_City_pretty","least_expensive_in_city","least_expensive_in_city_amount","least_expensive_in_state","least_expensive_in_state_amount","least_expensive_in_state_city","least_expensive_overall","least_expensive_in_overall_amount","least_expensive_overall_city","least_expensive_overall_state","city_out_of","city_rank","city_percentile","state_out_of","state_rank","state_percentile","country_out_of","country_rank","country_percentile"
"074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",18,36903.5,9698.666667,6653.111111,"Duke University Hospital",100,1,1,50,15,28,58.576874205845,327,787,"cranial & peripheral nerve disorders w/o mcc","Durham","Duke University Hospital",9698.666667,"Iredell Memorial Hospital Inc",5002.666667,"Statesville","Boone Hospital Center",4539.090909,"Columbia","MO",1,1,100,28,2,96.4285714285714,787,71,91.1054637865311
"100 - SEIZURES W MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",24,61550.75,16450.29167,12661.70833,"Duke University Hospital",100,1,1,60,11,25,75.253807106599,196,788,"seizures w mcc","Durham","Duke University Hospital",16450.29167,"Alamance Regional Medical Center",8396.619048,"Burlington","Missouri Baptist Medical Center",7349.538462,"Town And Countr","MO",1,1,100,25,1,100,788,95,88.0710659898477
"101 - SEIZURES W/O MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",50,34501.3,7857.08,4865,"Duke University Hospital",100,1,2,78.3783783783784,9,37,85.4225352112676,208,1420,"seizures w/o mcc","Durham","Duke Regional Hospital",5176.5,"Medwest Haywood",4317.545455,"Clyde","Springhill Medical Center",3655.789474,"Mobile","AL",2,1,100,37,2,97.2972972972973,1420,131,90.8450704225352
"101 - SEIZURES W/O MCC",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",22,20612.31818,5176.5,3994.818182,"Duke Regional Hospital",50,2,2,45.945945945946,21,37,49.5070422535211,718,1420,"seizures w/o mcc","Durham","Duke Regional Hospital",5176.5,"Medwest Haywood",4317.545455,"Clyde","Springhill Medical Center",3655.789474,"Mobile","AL",2,2,50,37,18,54.0540540540541,1420,762,46.4084507042254
"176 - PULMONARY EMBOLISM W/O MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",65,24310.8,9939.276923,7490.876923,"Duke University Hospital",100,1,2,96.2962962962963,3,54,98.75,18,1360,"pulmonary embolism w/o mcc","Durham","Duke Regional Hospital",7025.227273,"Lake Norman Regional Medical Center",5281.941176,"Mooresville","Springhill Medical Center",5031.333333,"Mobile","AL",2,1,100,54,2,98.1481481481482,1360,106,92.2794117647059
"176 - PULMONARY EMBOLISM W/O MCC",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",22,22216.45455,7025.227273,5357.909091,"Duke Regional Hospital",50,2,2,55.5555555555556,25,54,61.6176470588235,523,1360,"pulmonary embolism w/o mcc","Durham","Duke Regional Hospital",7025.227273,"Lake Norman Regional Medical Center",5281.941176,"Mooresville","Springhill Medical Center",5031.333333,"Mobile","AL",2,2,50,54,17,70.3703703703704,1360,615,54.8529411764706
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",44,42192.68182,19044.15909,15408.27273,"Duke University Hospital",100,1,2,62.5,28,72,74.2721016410799,487,1889,"respiratory infections & inflammations w mcc","Durham","Duke Regional Hospital",13565,"Margaret R Pardee Memorial Hospital",10407.30952,"Hendersonville","Bert Fish Medical Center",8862.533333,"New Smyrna Beac","FL",2,1,100,72,3,97.2222222222222,1889,165,91.3181577554262
"177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",31,28607.19355,13565,12274.48387,"Duke Regional Hospital",50,2,2,45.8333333333333,40,72,57.3319216516675,807,1889,"respiratory infections & inflammations w mcc","Durham","Duke Regional Hospital",13565,"Margaret R Pardee Memorial Hospital",10407.30952,"Hendersonville","Bert Fish Medical Center",8862.533333,"New Smyrna Beac","FL",2,2,50,72,20,73.6111111111111,1889,808,57.2789835892006
"178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",42,33166.16667,13342.64286,10232.85714,"Duke University Hospital",100,1,2,85.4838709677419,10,62,86.3636363636364,238,1738,"respiratory infections & inflammations w cc","Durham","Duke Regional Hospital",9354.130435,"Medwest Haywood",7207.363636,"Clyde","Hancock Regional Hospital",6699.636364,"Greenfield","IN",2,1,100,62,2,98.3870967741936,1738,146,91.6570771001151
"178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",23,21407.91304,9354.130435,8109.652174,"Duke Regional Hospital",50,2,2,53.2258064516129,30,62,57.825086306099,734,1738,"respiratory infections & inflammations w cc","Durham","Duke Regional Hospital",9354.130435,"Medwest Haywood",7207.363636,"Clyde","Hancock Regional Hospital",6699.636364,"Greenfield","IN",2,2,50,62,24,62.9032258064516,1738,809,53.5097813578826
"189 - PULMONARY EDEMA & RESPIRATORY FAILURE",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",57,54093.94737,15904.26316,12068.19298,"Duke University Hospital",50,2,2,50.6493506493506,39,77,70.3504043126685,661,2226,"pulmonary edema & respiratory failure","Durham","Duke Regional Hospital",8590.023256,"Margaret R Pardee Memorial Hospital",7113.978261,"Hendersonville","Fort Loudoun Medical Center",5853.352941,"Lenoir City","TN",2,1,100,77,1,100,2226,48,97.8885893980234
"189 - PULMONARY EDEMA & RESPIRATORY FAILURE",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",86,27907.19767,8590.023256,7328.011628,"Duke Regional Hospital",100,1,2,72.7272727272727,22,77,85.7142857142857,319,2226,"pulmonary edema & respiratory failure","Durham","Duke Regional Hospital",8590.023256,"Margaret R Pardee Memorial Hospital",7113.978261,"Hendersonville","Fort Loudoun Medical Center",5853.352941,"Lenoir City","TN",2,2,50,77,21,74.025974025974,2226,992,55.4806828391734
"190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",71,33067.84507,11211.16901,8590.802817,"Duke University Hospital",50,2,2,61.25,32,80,73.5459662288931,706,2665,"chronic obstructive pulmonary disease w mcc","Durham","Duke Regional Hospital",7975.102564,"Rex Hospital",6702.357143,"Raleigh","Wadley Regional Medical Center At Hope",5533.113636,"Hope","AR",2,1,100,80,3,97.5,2665,250,90.656660412758
"190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",78,22308.92308,7975.102564,6525.371795,"Duke Regional Hospital",100,1,2,65,29,80,77.7861163227017,593,2665,"chronic obstructive pulmonary disease w mcc","Durham","Duke Regional Hospital",7975.102564,"Rex Hospital",6702.357143,"Raleigh","Wadley Regional Medical Center At Hope",5533.113636,"Hope","AR",2,2,50,80,24,71.25,2665,1205,54.8217636022514
"191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",55,26601.61818,9126.309091,6726.236364,"Duke University Hospital",50,2,2,60.4938271604938,33,81,66.6027607361963,872,2608,"chronic obstructive pulmonary disease w cc","Durham","Duke Regional Hospital",6410.285714,"Lake Norman Regional Medical Center",5289.969697,"Mooresville","Fort Loudoun Medical Center",4374.583333,"Lenoir City","TN",2,1,100,81,2,98.7654320987654,2608,213,91.8711656441718
"191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",98,18258.37755,6410.285714,5203.163265,"Duke Regional Hospital",100,1,2,83.9506172839506,14,81,89.3021472392638,280,2608,"chronic obstructive pulmonary disease w cc","Durham","Duke Regional Hospital",6410.285714,"Lake Norman Regional Medical Center",5289.969697,"Mooresville","Fort Loudoun Medical Center",4374.583333,"Lenoir City","TN",2,2,50,81,29,65.4320987654321,2608,1152,55.8665644171779
"192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",23,23533.08696,7159.956522,4790.782609,"Duke University Hospital",50,2,2,28.9855072463768,50,69,39.7009966777409,1453,2408,"chronic obstructive pulmonary disease w/o cc/mcc","Durham","Duke Regional Hospital",4877.06383,"Rex Hospital",3985.4,"Raleigh","Unicoi County Memorial Hospital",3428.888889,"Erwin","TN",2,1,100,69,2,98.5507246376812,2408,144,94.0614617940199
"192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",47,15810.17021,4877.06383,3717.404255,"Duke Regional Hospital",100,1,2,71.0144927536232,21,69,76.4950166112957,567,2408,"chronic obstructive pulmonary disease w/o cc/mcc","Durham","Duke Regional Hospital",4877.06383,"Rex Hospital",3985.4,"Raleigh","Unicoi County Memorial Hospital",3428.888889,"Erwin","TN",2,2,50,69,19,73.9130434782609,2408,1016,57.8488372093023
"193 - SIMPLE PNEUMONIA & PLEURISY W MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",47,32903.65957,13813.68085,10869.89362,"Duke University Hospital",50,2,2,33.3333333333333,55,81,54.3689320388349,1176,2575,"simple pneumonia & pleurisy w mcc","Durham","Duke Regional Hospital",11302.29091,"Margaret R Pardee Memorial Hospital",8104.717949,"Hendersonville","Fisher-titus Hospital",6734,"Norwalk","OH",2,1,100,81,3,97.5308641975309,2575,247,90.4466019417476
"193 - SIMPLE PNEUMONIA & PLEURISY W MCC",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",55,32676.70909,11302.29091,8551.309091,"Duke Regional Hospital",100,1,2,39.5061728395062,50,81,63.1456310679612,950,2575,"simple pneumonia & pleurisy w mcc","Durham","Duke Regional Hospital",11302.29091,"Margaret R Pardee Memorial Hospital",8104.717949,"Hendersonville","Fisher-titus Hospital",6734,"Norwalk","OH",2,2,50,81,7,92.5925925925926,2575,636,75.3398058252427
"194 - SIMPLE PNEUMONIA & PLEURISY W CC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",70,24033.94286,9596.542857,7117.828571,"Duke University Hospital",50,2,2,54.320987654321,38,81,69.6241110734846,898,2953,"simple pneumonia & pleurisy w cc","Durham","Duke Regional Hospital",6916.293233,"Lake Norman Regional Medical Center",5615.954545,"Mooresville","Springhill Medical Center",4779.641026,"Mobile","AL",2,1,100,81,2,98.7654320987654,2953,249,91.6017609210972
"194 - SIMPLE PNEUMONIA & PLEURISY W CC",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",133,19778.62406,6916.293233,5526.75188,"Duke Regional Hospital",100,1,2,88.8888888888889,10,81,92.5499492041991,221,2953,"simple pneumonia & pleurisy w cc","Durham","Duke Regional Hospital",6916.293233,"Lake Norman Regional Medical Center",5615.954545,"Mooresville","Springhill Medical Center",4779.641026,"Mobile","AL",2,2,50,81,18,79.0123456790123,2953,1184,59.9390450389434
"195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",17,16845.47059,6896.647059,4448.235294,"Duke University Hospital",50,2,2,24.5901639344262,47,61,29.4677628732151,1631,2311,"simple pneumonia & pleurisy w/o cc/mcc","Durham","Duke Regional Hospital",4956.634146,"Frye Regional Medical Center",3968.634921,"Hickory","Unicoi County Memorial Hospital",3175,"Erwin","TN",2,1,100,61,2,98.3606557377049,2311,160,93.1198615318044
"195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",41,14359.17073,4956.634146,3480.195122,"Duke Regional Hospital",100,1,2,78.6885245901639,14,61,82.085677196019,415,2311,"simple pneumonia & pleurisy w/o cc/mcc","Durham","Duke Regional Hospital",4956.634146,"Frye Regional Medical Center",3968.634921,"Hickory","Unicoi County Memorial Hospital",3175,"Erwin","TN",2,2,50,61,17,73.7704918032787,2311,867,62.5270445694505
"202 - BRONCHITIS & ASTHMA W CC/MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",17,24325.52941,8379.352941,5538.882353,"Duke University Hospital",50,2,2,36.9565217391304,30,46,42.1052631578947,793,1368,"bronchitis & asthma w cc/mcc","Durham","Duke Regional Hospital",6011.478261,"Rex Hospital",4927.173913,"Raleigh","Springhill Medical Center",4215.192308,"Mobile","AL",2,1,100,46,3,95.6521739130435,1368,141,89.766081871345
"202 - BRONCHITIS & ASTHMA W CC/MCC",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",23,18603.86957,6011.478261,4785.782609,"Duke Regional Hospital",100,1,2,52.1739130434783,23,46,63.3771929824561,502,1368,"bronchitis & asthma w cc/mcc","Durham","Duke Regional Hospital",6011.478261,"Rex Hospital",4927.173913,"Raleigh","Springhill Medical Center",4215.192308,"Mobile","AL",2,2,50,46,19,60.8695652173913,1368,642,53.1432748538012
"207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",20,142206.6,49126.65,42405.4,"Duke University Hospital",100,1,2,35.2941176470588,23,34,57.0763500931099,462,1074,"respiratory system diagnosis w ventilator support 96+ hours","Durham","Duke Regional Hospital",35274.91667,"Iredell Memorial Hospital Inc",28730.44,"Statesville","Munroe Regional Medical Center",24730.22727,"Ocala","FL",2,1,100,34,2,97.0588235294118,1074,184,82.9608938547486
"207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",12,105315.25,35274.91667,30442.08333,"Duke Regional Hospital",50,2,2,5.88235294117647,33,34,15.6424581005587,907,1074,"respiratory system diagnosis w ventilator support 96+ hours","Durham","Duke Regional Hospital",35274.91667,"Iredell Memorial Hospital Inc",28730.44,"Statesville","Munroe Regional Medical Center",24730.22727,"Ocala","FL",2,2,50,34,21,41.1764705882353,1074,667,37.9888268156425
"208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",54,74957.77778,22335.37037,18236.37037,"Duke University Hospital",50,2,2,75.3623188405797,18,69,84.1640706126687,306,1926,"respiratory system diagnosis w ventilator support <96 hours","Durham","Duke Regional Hospital",14689.11864,"Hugh Chatham Memorial Hospital",12199.125,"Elkin","Muhlenberg Community Hospital",9671.5,"Greenville","KY",2,1,100,69,2,98.5507246376812,1926,220,88.6292834890966
"208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",59,57357.81356,14689.11864,12810.57627,"Duke Regional Hospital",100,1,2,78.2608695652174,16,69,86.552440290758,260,1926,"respiratory system diagnosis w ventilator support <96 hours","Durham","Duke Regional Hospital",14689.11864,"Hugh Chatham Memorial Hospital",12199.125,"Elkin","Muhlenberg Community Hospital",9671.5,"Greenville","KY",2,2,50,69,28,60.8695652173913,1926,1224,36.5005192107996
"238 - MAJOR CARDIOVASC PROCEDURES W/O MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",76,88813.32895,28468.36842,24918.56579,"Duke University Hospital",100,1,1,84,5,25,94.6481665014866,55,1009,"major cardiovasc procedures w/o mcc","Durham","Duke University Hospital",28468.36842,"High Point Regional Hospital",18075.375,"High Point","Thomas Hospital",14900.66667,"Fairhope","AL",1,1,100,25,5,84,1009,163,83.9444995044599
"243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",51,108892.7843,26769.11765,23373.7451,"Duke University Hospital",100,1,2,78.5714285714286,7,28,94.0944881889764,61,1016,"permanent cardiac pacemaker implant w cc","Durham","Duke Regional Hospital",18017.6,"Margaret R Pardee Memorial Hospital",13948.56522,"Hendersonville","Thomas Hospital",12754.125,"Fairhope","AL",2,1,100,28,1,100,1016,50,95.1771653543307
"243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC",340155,"DUKE REGIONAL HOSPITAL","3643 N ROXBORO ROAD","DURHAM","NC",27704,"NC - Durham",15,79416,18017.6,16812.13333,"Duke Regional Hospital",50,2,2,25,22,28,34.744094488189,664,1016,"permanent cardiac pacemaker implant w cc","Durham","Duke Regional Hospital",18017.6,"Margaret R Pardee Memorial Hospital",13948.56522,"Hendersonville","Thomas Hospital",12754.125,"Fairhope","AL",2,2,50,28,12,60.7142857142857,1016,459,54.9212598425197
"244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",28,81338.21429,18781.5,16190.5,"Duke University Hospital",100,1,1,52.1739130434783,12,23,78.2983970406905,177,811,"permanent cardiac pacemaker implant w/o cc/mcc","Durham","Duke University Hospital",18781.5,"Rex Hospital",12018.10811,"Raleigh","Thomas Hospital",10209.92308,"Fairhope","AL",1,1,100,23,1,100,811,75,90.8754623921085
"246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",33,92440.63636,28845.09091,26046.45455,"Duke University Hospital",100,1,1,35,14,20,74.4510978043912,257,1002,"perc cardiovasc proc w drug-eluting stent w mcc or 4+ vessels/stents","Durham","Duke University Hospital",28845.09091,"Novant Health Forsyth Medical Center",19135.35294,"Winston-salem","Thomas Hospital",15906.28571,"Fairhope","AL",1,1,100,20,2,95,1002,156,84.5309381237525
"247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",340030,"DUKE UNIVERSITY HOSPITAL","PO BOX 3708 DUMC  ERWIN RD","DURHAM","NC",27710,"NC - Durham",110,70861.66364,18363.58182,14660.34545,"Duke University Hospital",100,1,2,58.6206896551724,13,29,84.7035040431267,228,1484,"perc cardiovasc proc w drug-eluting stent w/o mcc","Durham","Duke Regional Hospital",13375.61538,"Novant Health Rowan Medical Center",11744.04348,"Salisbury","Springhill Medical Center",9638.421053,"Mobile","AL",2,1,100,29,2,96.551724137931,1484,206,86.1859838274933
